Question_ID,Subject,Year,Exam_Name,Question_Type,Marks,Difficulty_Level,Topic,Repeated_Count,Last_Appearance_Year,Exam_Date,,,,,,,,,,
Q0001,Computer Science,2022,Exam_5,MCQ,5,Medium,Algebra,10,2024,10/21/2019,,,,,,,,,,
Q0002,Chemistry,2019,Exam_2,Numerical,2,Medium,Genetics,1,2024,3/15/2020,,,,,,,,,,
Q0003,Physics,2015,Exam_5,MCQ,10,Hard,Organic,10,2017,06-09-2020,,,,,,,,,,
Q0004,Physics,2017,Exam_3,Numerical,15,Hard,Programming,7,2018,12-09-2023,,,,,,,,,,
Q0005,Maths,2017,Exam_3,Short Answer,2,Medium,Algebra,10,2025,09-03-2023,,,,,,,,,,
Q0006,Maths,2019,Exam_1,Long Answer,2,Hard,Organic,8,2022,4/23/2015,,,,,,,,,,
Q0007,Chemistry,2022,Exam_2,Short Answer,15,Easy,Mechanics,4,2024,05-04-2021,,,,,,,,,,
Q0008,Computer Science,2023,Exam_2,Numerical,2,Medium,Organic,10,2024,7/15/2021,,,,,,,,,,
Q0009,Maths,2020,Exam_3,Numerical,10,Medium,Programming,0,2025,3/31/2019,,,,,,,,,,
Q0010,Physics,2018,Exam_3,Short Answer,10,Easy,Mechanics,2,2019,01-01-2018,,,,,,,,,,
Q0011,Physics,2022,Exam_1,Long Answer,2,Hard,Organic,3,2023,10/20/2020,,,,,,,,,,
Q0012,Biology,2025,Exam_1,MCQ,2,Hard,Programming,0,2025,2/16/2023,,,,,,,,,,
Q0013,Biology,2016,Exam_2,Long Answer,2,Easy,Algebra,4,2023,08-03-2023,,,,,,,,,,
Q0014,Physics,2025,Exam_1,MCQ,15,Hard,Algebra,0,2025,05-08-2020,,,,,,,,,,
Q0015,Physics,2023,Exam_4,MCQ,10,Easy,Genetics,5,2025,03-05-2017,,,,,,,,,,
Q0016,Physics,2016,Exam_1,Numerical,5,Easy,Organic,6,2018,7/27/2019,,,,,,,,,,
Q0017,Physics,2019,Exam_1,Numerical,10,Medium,Organic,4,2022,8/13/2017,,,,,,,,,,
Q0018,Physics,2016,Exam_1,Short Answer,2,Easy,Genetics,2,2019,11/16/2023,,,,,,,,,,
Q0019,Maths,2025,Exam_4,Long Answer,2,Medium,Genetics,0,2025,5/18/2022,,,,,,,,,,
Q0020,Chemistry,2020,Exam_3,MCQ,10,Medium,Programming,3,2022,12-05-2017,,,,,,,,,,
Q0021,Maths,2019,Exam_2,MCQ,15,Hard,Organic,7,2022,9/28/2017,,,,,,,,,,
Q0022,Physics,2022,Exam_1,MCQ,15,Medium,Programming,0,2023,10/26/2016,,,,,,,,,,
Q0023,Physics,2023,Exam_5,Short Answer,2,Medium,Programming,8,2025,02-01-2024,,,,,,,,,,
Q0024,Biology,2023,Exam_4,Long Answer,15,Easy,Programming,8,2024,3/19/2020,,,,,,,,,,
Q0025,Physics,2021,Exam_5,Numerical,2,Easy,Programming,4,2024,7/15/2023,,,,,,,,,,
Q0026,Biology,2018,Exam_3,MCQ,15,Hard,Genetics,5,2020,12/14/2017,,,,,,,,,,
Q0027,Maths,2019,Exam_2,Short Answer,5,Medium,Genetics,9,2023,5/23/2020,,,,,,,,,,
Q0028,Maths,2021,Exam_3,Numerical,5,Medium,Organic,4,2022,02-04-2023,,,,,,,,,,
